"F_ID","Year","Nest_box","Survival","Num_recruited","April_hatch","Synchrony","Clutch_size","Age","Immigrant","beech","pop_size","Spring_temp","winter_temp","winter_precip_t","spring_precip_t","Round","Half_fall","R_pop_size","Spring_temp_max"
"BA01412",1963,"B18",1,3,0.406936808413734,-0.983845172747261,0.147778005062837,2,0,0,-1.17676044469696,-0.310904777346599,-0.978603549459412,-2.01106931996494,-0.334401972618346,"B",1.24334883137024,-0.983962491588143,-0.578621578832459
"BA01877",1961,"C15",1,1,-1.70532012340614,-0.495272030321069,-0.461072480390351,1,0,0,-1.16451130007363,1.53191758167143,-0.744312432403026,0.727617251199135,-0.0646671100267802,"C",-1.3459354591524,-1.07350361420279,1.24174471186272
"BA01053",1961,"C34",1,0,-1.30927194868991,-0.0066988878948758,-1.06992296584354,1,0,0,-1.16451130007363,1.53191758167143,-0.744312432403026,0.727617251199135,-0.0646671100267802,"C",-1.3459354591524,-1.07350361420279,1.24174471186272
"BA02139",1961,"C39",1,0,-0.781207715734943,0.644731968673382,-2.8964744222031,1,0,0,-1.16451130007363,1.53191758167143,-0.744312432403026,0.727617251199135,-0.0646671100267802,"C",-1.3459354591524,-1.07350361420279,1.24174471186272
"BA02139",1962,"C57",1,0,0.274920750174992,-2.12384917174171,0.147778005062837,2,0,2,-1.44624162641019,-2.16606402394998,-4.01795404594581,-1.36959172712181,-0.462457917485049,"C",2.06101755469318,-1.36451226270039,-1.46664906875204
"BA02139",1963,"C57",1,2,-0.649191657496201,-2.28670688588378,-0.461072480390351,2,0,0,-1.17676044469696,-0.310904777346599,-0.978603549459412,-2.01106931996494,-0.334401972618346,"C",1.24334883137024,-0.983962491588143,-0.578621578832459
"BA02139",1964,"C57",1,1,0.14290469193625,0.319016540389253,0.756628490516024,2,0,0,-0.858282684490422,-0.906159531350156,-1.0308492398207,-1.06080022111136,-0.0646671100267802,"C",-0.119432374167988,-0.446715755900271,-1.43926972220685
"608620",1961,"C53",1,0,-0.649191657496201,0.807589682815446,-1.67877345129673,1,1,0,-1.16451130007363,1.53191758167143,-0.744312432403026,0.727617251199135,-0.0646671100267802,"C",-1.3459354591524,-1.07350361420279,1.24174471186272
"BA01648",1961,"C7",1,0,-1.30927194868991,-0.0066988878948758,-1.06992296584354,1,0,0,-1.16451130007363,1.53191758167143,-0.744312432403026,0.727617251199135,-0.0646671100267802,"C",-1.3459354591524,-1.07350361420279,1.24174471186272
"BA02055",1961,"CP9",1,0,-0.253143482779975,1.29616282524164,-2.28762393674991,1,0,0,-1.16451130007363,1.53191758167143,-0.744312432403026,0.727617251199135,-0.0646671100267802,"CP",-1.3459354591524,-1.07350361420279,1.24174471186272
"BA01641",1961,"EX2",1,0,-0.781207715734943,0.644731968673382,-0.461072480390351,1,0,0,-1.16451130007363,1.53191758167143,-0.744312432403026,0.727617251199135,-0.0646671100267802,"EX",-1.3459354591524,-1.07350361420279,1.24174471186272
"BA02120",1961,"EX39B",1,0,-1.44128800692865,-0.16955660203694,-0.461072480390351,1,1,0,-1.16451130007363,1.53191758167143,-0.744312432403026,0.727617251199135,-0.0646671100267802,"EX",-1.3459354591524,-1.07350361420279,1.24174471186272
"BA02120",1962,"EX33",1,1,0.14290469193625,-2.28670688588378,0.147778005062837,2,1,2,-1.44624162641019,-2.16606402394998,-4.01795404594581,-1.36959172712181,-0.462457917485049,"EX",2.06101755469318,-1.36451226270039,-1.46664906875204
