"F_ID","Year","Nest_box","Survival","Num_recruited","April_hatch","Synchrony","Clutch_size","Age","Immigrant","beech","pop_size","Spring_temp","winter_temp","winter_precip_t","spring_precip_t","Round","Half_fall","R_pop_size","MOTHER","animal","ID"
"VH99984",1996,"EX49A",0,0,1.46306527432367,-0.104413516380114,1.9743294614224,2,0,0,0.91784328589221,-1.3950087507795,-0.47516633956315,-0.98176429993012,-0.579615484065224,"EX",1.59767194481018,1.97089455469515,"VH82318","VH99984","VH99984"
"VN57685",1994,"EX51D",0,0,0.406936808413734,0.221301911904014,0.756628490516024,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"VH82027","VN57685","VN57685"
"VJ59153",1994,"EX54",1,0,0.670968924891218,0.547017340188143,-0.461072480390351,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"VH99341","VJ59153","VJ59153"
"VJ59153",1995,"CP35",1,0,-1.44128800692865,-0.918702087090436,0.756628490516024,2,0,2,-0.0498391393507414,0.537256325989891,-1.01464144259652,0.768054234129074,-0.906566832661061,"EX",-0.71905610460481,0.560621873514489,"VH99341","VJ59153","VJ59153"
"VJ59153",1996,"EX51C",1,0,1.46306527432367,-0.104413516380114,-1.06992296584354,2,0,0,0.91784328589221,-1.3950087507795,-0.47516633956315,-0.98176429993012,-0.579615484065224,"EX",1.59767194481018,1.97089455469515,"VH99341","VJ59153","VJ59153"
"VJ59153",1997,"EX51D",0,1,-1.04523983221243,0.05844419776195,1.36547897596921,2,0,1,0.599365525685669,1.36845410337567,1.20595959959553,-0.658268436490605,-0.639556564641127,"EX",-1.12789046626628,1.16502445116335,"VH99341","VJ59153","VJ59153"
"H301362",1994,"EX55",0,0,0.406936808413734,0.221301911904014,1.36547897596921,1,1,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,NA,"H301362","H301362"
"H301361",1994,"EX57",0,1,0.274920750174992,0.05844419776195,-0.461072480390351,1,1,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,NA,"H301361","H301361"
"VH99614",1994,"EX5A",1,1,0.0108886336975085,-0.267271230522179,0.147778005062837,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"H300541","VH99614","VH99614"
"VH99614",1995,"EX5A",0,0,-0.781207715734943,-0.104413516380114,-0.461072480390351,2,0,2,-0.0498391393507414,0.537256325989891,-1.01464144259652,0.768054234129074,-0.906566832661061,"EX",-0.71905610460481,0.560621873514489,"H300541","VH99614","VH99614"
"VH82701",1994,"EX62",0,0,0.406936808413734,0.221301911904014,-0.461072480390351,2,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"H303406","VH82701","VH82701"
"VJ58611",1994,"EX62G",1,1,0.406936808413734,0.221301911904014,0.147778005062837,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"VH82291","VJ58611","VJ58611"
"VJ58611",1995,"EX62G",1,0,-1.30927194868991,-0.755844372948372,0.756628490516024,2,0,2,-0.0498391393507414,0.537256325989891,-1.01464144259652,0.768054234129074,-0.906566832661061,"EX",-0.71905610460481,0.560621873514489,"VH82291","VJ58611","VJ58611"
"VJ58611",1996,"EX62G",0,0,0.670968924891218,-1.0815598012325,-0.461072480390351,2,0,0,0.91784328589221,-1.3950087507795,-0.47516633956315,-0.98176429993012,-0.579615484065224,"EX",1.59767194481018,1.97089455469515,"VH82291","VJ58611","VJ58611"
"VB55769",1994,"EX64",0,0,1.19903315784619,1.1984481967564,-0.461072480390351,1,1,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,NA,"VB55769","VB55769"
"VN57622",1994,"EX66",0,0,0.0108886336975085,-0.267271230522179,1.36547897596921,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"VH82596","VN57622","VN57622"
"VJ58808",1994,"EX67",0,0,0.274920750174992,0.05844419776195,-0.461072480390351,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"VH84802","VJ58808","VJ58808"
"VJ59077",1994,"EX68",0,0,0.274920750174992,0.05844419776195,-0.461072480390351,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"VH83478","VJ59077","VJ59077"
