ID,FATHER,MOTHER
BH62478,NA,NA
BH62479,NA,NA
BH62499,NA,NA
BH62501,NA,NA
BH62506,NA,NA
BH62507,NA,NA
BH62509,NA,NA
BH62511,NA,NA
BH62512,NA,NA
BH62513,NA,NA
BH62514,NA,NA
BH62515,NA,NA
BH62516,NA,NA
BH62517,NA,NA
BH62518,NA,NA
BH62519,NA,NA
BH62520,NA,NA
BH62522,NA,NA
BH62523,NA,NA
BH62524,NA,NA
BH62560,NA,NA
BH62563,NA,NA
BH62591,NA,NA
BH62594,NA,NA
BH62596,NA,NA
BH62597,NA,NA
BH62599,NA,NA
BH62600,NA,NA
BH62605,NA,NA
BH62853,NA,NA
BH62940,NA,NA
BH62951,NA,NA
BH62952,NA,NA
BH62953,NA,NA
BH62954,NA,NA
BH62955,NA,NA
BH62968,NA,NA
BH93080,NA,NA
BH93095,NA,NA
BJ03415,NA,NA
BJ03863,NA,NA
BJ03885,NA,NA
BJ04018,NA,NA
BJ04740,NA,NA
BJ04741,NA,NA
BJ04742,NA,NA
BJ04743,NA,NA
BJ04750,NA,NA
BJ05501,NA,NA
BJ05502,NA,NA
BJ05505,NA,NA
BJ05506,NA,NA
BJ05507,NA,NA
BJ05532,NA,NA
BJ05548,NA,NA
BJ05549,NA,NA
BJ05550,NA,NA
BJ05587,NA,NA
BJ05588,NA,NA
BJ05589,NA,NA
BJ05591,NA,NA
BJ05592,NA,NA
BJ05593,NA,NA
BJ05594,NA,NA
BJ05595,NA,NA
BJ05596,NA,NA
BJ05597,NA,NA
BJ05598,NA,NA
BJ05599,NA,NA
BJ05600,NA,NA
BJ05625,NA,NA
BJ05627,NA,NA
BJ05628,NA,NA
BJ05629,NA,NA
BJ05630,NA,NA
BJ05631,NA,NA
BJ05634,NA,NA
BJ05635,NA,NA
BJ05648,NA,NA
BJ05707,NA,NA
BJ05711,NA,NA
BJ05729,NA,NA
BJ05730,NA,NA
BJ05736,NA,NA
BJ05749,NA,NA
BJ14405,NA,NA
BJ14451,NA,NA
BJ14461,NA,NA
BJ14462,NA,NA
BJ14469,NA,NA
BJ14484,NA,NA
BJ36555,NA,NA
BJ54001,NA,NA
BJ54002,NA,NA
BJ54004,NA,NA
BJ54006,NA,NA
BJ54009,NA,NA
BJ54010,NA,NA
BJ54012,NA,NA
BJ54088,NA,NA
BJ54099,NA,NA
BJ54100,NA,NA
BJ54309,NA,NA
BJ54318,NA,NA
BJ54389,NA,NA
BJ54486,NA,NA
BJ54603,NA,NA
BJ54604,NA,NA
BJ54606,NA,NA
BJ54607,NA,NA
BJ54613,NA,NA
