F_ID,Year,Nest_box,Survival,Num_recruited,April_hatch,Synchrony,Clutch_size,Age,Immigrant,beech,pop_size,Spring_temp,winter_temp,winter_precip_t,spring_precip_t,Round,Half_fall,R_pop_size,Spring_temp_GT,Spring_temp_cat
BS44410,1979,MP51,0,0,57,-16.1808729963165,10,1,0,1,127,6.209859155,4.491208791,204.2,163.7,MP,73.1808729963165,74,9.75470588235294,10.4664772727273
NC09569,1979,MP63,1,0,54,-19.1808729963165,10,1,0,1,127,6.209859155,4.491208791,204.2,163.7,MP,73.1808729963165,74,9.75470588235294,10.4664772727273
NC09569,1980,MP63,0,1,45,-20.4970474220139,12,2,0,2,177,6.829577465,4.122222222,93,49.6,MP,65.4970474220139,114,10.8602941176471,11.5865909090909
NC09602,1979,MP76,0,0,51,-22.1808729963165,10,1,0,1,127,6.209859155,4.491208791,204.2,163.7,MP,73.1808729963165,74,9.75470588235294,10.4664772727273
KR81310,1979,MP8,1,1,53,-20.1808729963165,12,1,1,1,127,6.209859155,4.491208791,204.2,163.7,MP,73.1808729963165,74,9.75470588235294,10.4664772727273
KR81310,1980,MP1,0,0,44,-21.4970474220139,13,2,1,2,177,6.829577465,4.122222222,93,49.6,MP,65.4970474220139,114,10.8602941176471,11.5865909090909
NC09471,1979,O103,1,1,67,-6.18087299631647,11,1,0,1,127,6.209859155,4.491208791,204.2,163.7,O,73.1808729963165,74,9.75470588235294,10.4664772727273
NC09471,1981,EX91,0,1,53,-4.97457883495809,7,3,0,0,232,8.088732394,2.404444444,163.2,131.6,O,57.9745788349581,147,11.5273529411765,11.3026136363636
BJ05841,1979,O12,1,2,54,-19.1808729963165,11,1,0,1,127,6.209859155,4.491208791,204.2,163.7,O,73.1808729963165,74,9.75470588235294,10.4664772727273
BJ05841,1980,O12,0,0,45,-20.4970474220139,9,2,0,2,177,6.829577465,4.122222222,93,49.6,O,65.4970474220139,114,10.8602941176471,11.5865909090909
KR81476,1979,O20,0,0,64,-9.18087299631647,10,1,1,1,127,6.209859155,4.491208791,204.2,163.7,O,73.1808729963165,74,9.75470588235294,10.4664772727273
KR81471,1979,O22,0,0,61,-12.1808729963165,8,1,1,1,127,6.209859155,4.491208791,204.2,163.7,O,73.1808729963165,74,9.75470588235294,10.4664772727273
NC09215,1979,O30,1,0,61,-12.1808729963165,9,1,0,1,127,6.209859155,4.491208791,204.2,163.7,O,73.1808729963165,74,9.75470588235294,10.4664772727273
NC09215,1980,O1,0,0,46,-19.4970474220139,8,2,0,2,177,6.829577465,4.122222222,93,49.6,O,65.4970474220139,114,10.8602941176471,11.5865909090909
KR81484,1979,O37,1,1,63,-10.1808729963165,9,1,1,1,127,6.209859155,4.491208791,204.2,163.7,O,73.1808729963165,74,9.75470588235294,10.4664772727273
KR81484,1980,O50,1,0,51,-14.4970474220139,9,2,1,2,177,6.829577465,4.122222222,93,49.6,O,65.4970474220139,114,10.8602941176471,11.5865909090909
KR81484,1981,O38,0,0,53,-4.97457883495809,9,3,1,0,232,8.088732394,2.404444444,163.2,131.6,O,57.9745788349581,147,11.5273529411765,11.3026136363636
KR81475,1979,O39,0,0,62,-11.1808729963165,7,1,1,1,127,6.209859155,4.491208791,204.2,163.7,O,73.1808729963165,74,9.75470588235294,10.4664772727273
BJ05885,1979,O42,0,1,62,-11.1808729963165,9,1,0,1,127,6.209859155,4.491208791,204.2,163.7,O,73.1808729963165,74,9.75470588235294,10.4664772727273
NC09370,1979,O54,1,0,58,-15.1808729963165,10,1,0,1,127,6.209859155,4.491208791,204.2,163.7,O,73.1808729963165,74,9.75470588235294,10.4664772727273
NC09370,1981,O56,0,0,47,-10.9745788349581,7,3,0,0,232,8.088732394,2.404444444,163.2,131.6,O,57.9745788349581,147,11.5273529411765,11.3026136363636
KR81470,1979,O6,1,2,56,-17.1808729963165,11,1,1,1,127,6.209859155,4.491208791,204.2,163.7,O,73.1808729963165,74,9.75470588235294,10.4664772727273
KR81470,1980,O6,1,0,46,-19.4970474220139,12,2,1,2,177,6.829577465,4.122222222,93,49.6,O,65.4970474220139,114,10.8602941176471,11.5865909090909
KR81470,1981,O8,0,2,48,-9.97457883495809,12,3,1,0,232,8.088732394,2.404444444,163.2,131.6,O,57.9745788349581,147,11.5273529411765,11.3026136363636
NC09627,1979,O64,0,0,53,-20.1808729963165,9,1,0,1,127,6.209859155,4.491208791,204.2,163.7,O,73.1808729963165,74,9.75470588235294,10.4664772727273
KR81473,1979,O65,1,0,62,-11.1808729963165,9,1,1,1,127,6.209859155,4.491208791,204.2,163.7,O,73.1808729963165,74,9.75470588235294,10.4664772727273
KR81473,1980,O63,0,1,47,-18.4970474220139,8,2,1,2,177,6.829577465,4.122222222,93,49.6,O,65.4970474220139,114,10.8602941176471,11.5865909090909
KJ73141,1979,O85,0,0,66,-7.18087299631647,12,1,1,1,127,6.209859155,4.491208791,204.2,163.7,O,73.1808729963165,74,9.75470588235294,10.4664772727273
BR62873,1979,O86,0,1,61,-12.1808729963165,10,2,0,1,127,6.209859155,4.491208791,204.2,163.7,O,73.1808729963165,74,9.75470588235294,10.4664772727273
KR81343,1979,O94,1,1,64,-9.18087299631647,9,1,1,1,127,6.209859155,4.491208791,204.2,163.7,O,73.1808729963165,74,9.75470588235294,10.4664772727273
KR81343,1980,O109,1,0,48,-17.4970474220139,9,2,1,2,177,6.829577465,4.122222222,93,49.6,O,65.4970474220139,114,10.8602941176471,11.5865909090909
KR81343,1982,SW120,1,1,51,-10.4913956805066,10,4,1,2,175,7.332394366,4.226666667,131.9,63.3,O,61.4913956805066,106,11.5829411764706,12.0690909090909
KR81343,1983,O110,0,0,59,-12.4,6,5,1,1,297,7.164788732,4.230769231,166.7,195.8,O,71.4,163,10.9495588235294,10.9202272727273
KR81312,1979,P10,0,0,61,-12.1808729963165,10,1,1,1,127,6.209859155,4.491208791,204.2,163.7,P,73.1808729963165,74,9.75470588235294,10.4664772727273
BJ05817,1979,P14,0,3,50,-23.1808729963165,9,1,0,1,127,6.209859155,4.491208791,204.2,163.7,P,73.1808729963165,74,9.75470588235294,10.4664772727273
KR81472,1979,P22,0,0,60,-13.1808729963165,7,1,1,1,127,6.209859155,4.491208791,204.2,163.7,P,73.1808729963165,74,9.75470588235294,10.4664772727273
